id,tokens,tags
285,ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt,2
286,scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich,2
287,ich bin drauf ich versuch das mal zu rollen,2
288,ja verstanden,2
289,UGV 2 von Einsatzleiter,4
290,UGV 2 hört,5
291,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,3
292,ja das ist korrekt,7
293,UGV 2 von Einsatzleiter,4
294,UGV 2 hört,5
295,dann müsst ihr euch von da aus in östlicher Richtung bewegen,1
296,ja,7
297,wie ist da meine Blickrichtung auf dem Bild?,3
298,schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken,2
299,ja verstanden,2
300,Einsatzführer von UAV,4
301,ja ich höre,5
302,ich müsste erneut zurück wegen Akku Tausch,2
303,möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen,2
304,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,1
305,so machen wir das,7
306,Einsatzleiter von UGV 1,4
307,ich höre,5
308,ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel,2
309,schau dir das bitte mal an beide Bilder sind geteilt,2
310,ja verstanden,7
311,ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen,2
312,ja verstanden,7
313,ihr setzt die Erkundung in östlicher Richtung weiter fort,7
314,UGV 2 von Einsatzleiter,4
315,UGV 2 hört,5
316,Frage: wo ist euer Standort inzwischen?,3
317,immer noch nicht klar,2
318,UAV von Einsatzleiter,4
319,hier ist die UAV,5
320,Frage: könnt ihr aus eurer Position den UGV 1 sehen?,3
321,wir sind unterwegs und melden uns gleich nochmal,6
322,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war,1
323,ja ist verstanden,7
324,UAV von UGV 1 kommen,4
325,hier ist UAV,5
326,ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden,2
327,hast du eine Ebene? auf welcher Ebene?,3
328,ja auf der ersten Ebene zu den Rampen hin,2
329,ja ich sehe dich,2
330,Einsatzleiter von UAV,4
331,ja ich höre,5
332,ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen?,3
333,ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,3
334,ja ist negativ,0
335,das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug,2
336,das U- das erdgebundene,6
337,ja das ist verstanden,2
338,UGV 2 von Einsatzleiter,4
339,UGV 2 hört,5
340,wie weit seid ihr?,3
341,ja ich bin jetzt wieder im Außenbereich,2
342,hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen,2
343,ja schickst du mir mal ein Foto?,1
344,ja Foto kommt,7
345,UGV 1 von Einsatzleiter,4
346,UGV 1 hört,5
347,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,1
348,ja das kann ich machen,7
349,ich breche dann die Erkundung in östlicher Richtung ab,2
350,ja verstanden,2
351,Einsatzleiter von UAV,4
352,ich höre,5
353,nähere mich der Rauchquelle,2
354,ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken,2
355,ja das ist verstanden,2
356,da bewegt sich das erdgebundene Fahrzeug gerade darauf zu,2
357,Einsatzleiter von UGV 2 kommen,4
358,ich höre,5
359,ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt,2
360,ja verstanden,2
361,und ich glaube da kommt UGV 1 auch wieder angerollt,2
362,ja das ist korrekt,2
363,UGV 1 von UAV 1,4
364,ich höre dich,5
365,ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter,2
366,ja ist verstanden,2
367,die Wärmesignaturen sind schwarze Punkte,2
368,Frage: ist das schon erfolgt?,3
369,Bild ist draußen ich hab's geteilt,7
370,kannst du die Bilder sehen? UGV?,3
371,nein negativ,0
372,UAV von Einsatzleiter,4
373,hier ist die UAV,5
374,konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,3
375,bisher ist das einzige,2
376,ja verstanden,2
377,UGV 1 von UAV,4
378,ja,5
379,ich hab die brennenden Punkte gefunden,2
380,ja das ist schon mal gut ja,2
381,UGV 1 von Einsatzleiter,4
382,ich höre dich,5
383,ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich?,3
384,ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser,2
385,ja das ist verstanden,2
386,UAV von Einsatzleiter,4
387,hier ist die UAV,5
388,wir gehen runter zur Landung Akkutausch,2
389,das ist verstanden,2
390,Einsatzleiter von UGV 1 kommen,4
391,ich höre,5
392,ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt,2
393,ist verstanden,2
394,ich kann momentan aus technischen Gründen nur leider nichts sehen,2
395,ja ist verstanden,2
396,Einsatzleiter von UAV,4
397,höre,5
398,ja wir brauchen noch einen Augenblick,2
399,tauschen eben die Kameras,2
400,dann sind wir wieder dabei und suchen dann nach weiteren Fässern,2
401,ja verstanden,2
402,in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,3
403,ja ist verstanden,2
404,wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus,0
405,okay,2
406,an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV,4
407,Übungsende,2
408,UGV 1 verstanden,2
409,UGV 2 verstanden,2
410,UAV auch verstanden,2
411,Zugführer von WHS kommen,4
412,Gruppenführer von Zugführer kommen,4
413,Gruppenführer hört,5
414,Frage Lautstärke Verständigung kommen,3
415,Ja Lautstärke und Verständigung gut kommen,7
416,Ja das ist so verstanden ende,2
417,Ja ende,2
418,Das WHS von Zugführer kommen,4
419,D2 von Zugführer kommen,4
420,D2 hier kommen,5
421,Frage Lautstärke und Verständigung kommen,3
422,Nochmal bitte kommen,1
423,Frage Lautstärke und Verständigung kommen,3
424,Lautstärke und Verständigung sind super kommen,7
425,Das ist verstanden ende,2
426,WHS von Zugführer kommen,4
427,Ja ich höre kommen,5
428,Bei dir auch Frage Lautstärke und Verständigung kommen,3
429,Lautstärke und Verständigung ende,7
430,D1 von Zugführer kommen,4
431,D1 von Zugführer kommen,4
432,D1 hier,5
433,Ja auch für euch Frage Lautstärke und Verständigung kommen,3
434,Lautstärke OK,7
435,Das ist so verstanden,2
436,Frage seid ihr einsatzbereit kommen,3
437,Sind einsatzbereit kommen,7
438,Ja das ist verstanden ende,2
439,Gruppenführer von Zugführer kommen,4
440,Gruppenführer hört,5
441,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,1
442,Einmal die Kommunikation der Robotertrupps checken und die Einsatzbereitschaft herstellen,7
443,Das ist so korrekt Ende,2
444,Ja verstanden ende,2
445,D2 von Zugführer kommen,4
446,D2 hier kommen,5
447,Frage seit ihr einsatzbereit kommen,3
448,Wir haben gerade kein <unverständlich> und wir müssen noch ins Auto fahren.,0
449,Also circa 5 Minuten kommen,2
450,Das ist soweit verstanden,2
451,dann bitte selbständig anfunken kommen,1
452,Verstanden ende,7
453,WHS von Zugführer kommen,4
454,WHS hier kommen,5
455,Frage sind sie einsatzbereit kommen,3
456,Nur eine Sekunde ende,2
457,Gruppenführer von Zugführer kommen,4
458,Gruppenführer hört,5
459,Ja für sie zur Information der D1 ist startklar der D2 brauch noch circa 5 Minuten bis zur Einsatzbereitschaft kommen,2
460,Ja verstanden ende,2
461,Zugführer von WHS,4
462,Hier Zugführer kommen,5
463,Wir wären bereit ende,2
464,Das ist verstanden ende,2
465,Zugführer von Gruppenführer kommen,4
466,Ja hier Zugführer kommen,5
467,Der D3 und D5 einsatzbereit kommen,2
468,D3 und D5 ist einsatzbereit das ist verstanden,2
469,Zugführer von D2 kommen,4
470,Ja hier Zugführer kommen,7
471,D2 von Zugführer kommen,4
472,D2 hier kommen,5
473,Ja sie wollten etwas sagen kommen,3
474,D2 ist einsatzbereit kommen,2
475,D2 ist einsatzbereit das ist verstanden,2
476,Bitte auf Übungsbeginn warten kommen,1
477,Verstanden ende,7
478,An alle einsatzkräfte Übungsbeginn kommen,2
479,WHS hier verstanden,2
480,Gruppenführer von Zugführer kommen,4
481,Gruppenführer hört,5
482,Einsatzszenario ist jetzt beginnend,2
483,Einsatzszenario beginnt Verstanden,2
484,Verstanden ende,2
485,Gruppenführer von Zugführer kommen,4
486,Gruppenführer hört,5
487,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,1
488,Ja verstanden,7
489,D1 von Zugführer kommen,4
490,D1 hört kommen,5
491,Die Einsatzstelle wurde begangen. Wir haben einen Gefahrstoffunfall in einem Lager.,2
492,Für sie Erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,1
493,Gruppenführer von Zugführer kommen,4
494,Gruppenführer hört,5
495,der erste erkundungsflug ist jetzt mit der ersten Drohne gestartet worden kommen,2
496,Ja erster erkundungsflug mit der Drohne gestartet verstanden kommen,2
497,WHS von Zugführer kommen,4
498,Hier WHS kommen,5
499,WHS hört kommen,5
500,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor,2
501,Für sie Auftrag Erkundung innen der Halle kommen,1
502,WHS hat verstanden kommen Erkundung innen verstanden <eh> kommen,7
503,Ja das ist verstanden ende,2
504,Gruppenführer von Zugführer kommen,4
505,Gruppenführer hört,5
506,Für sie zur Information der D1 ist zur Erkundung des Außenbereiches vor die WHS Drohne ist zur Innenerkundung vor kommen,2
507,Ja das ist verstanden ende,2
508,Für sie bitte die Inbetriebnahme der Roboter D3 und D5 kommen,1
509,Inbetriebnahme D3 und D5 verstanden,7
510,Das ist so korrekt sie warten bitte noch auf weitere Einsatzbefehle kommen,1
511,Wir warten in Bereitschaft verstanden,7
512,D1 von Zugführer kommen,4
513,D1 hört,5
514,Frage hat der Erkundungsauftrag Lagerhalle außen schon Erkenntnisse hervorgebracht kommen,3
515,Bisher nichts zu sehen,0
516,Von außen keine Erkenntnise ist das korrekt kommen,3
517,WHS von Zugführer kommen,4
518,WHS hört,5
519,Frage ich kann das bild ihrer Drohne auf dem Bildschirm sehen,2
520,können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,1
521,WHS hat verstanden kommen,7
522,WHS von Zugführer kommen,4
523,WHS hört,5
524,ein stückchen näher ran,1
525,Ja habe verstanden ende,7
526,Ja perfekt so ist es zu erkennen,2
527,die nummer wird jetzt in die Datenbank eingegeben,2
528,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,1
529,WHS hat verstanden ende,7
530,Gruppenführer von Zugführer kommen,4
531,Gruppenführer hört,5
532,Ja Erkundungsergebnisse von dem Innenflug haben ergeben es handelt sich nach HON nummer um Schwefelsäure,2
533,keine Einsatzkraft betritt den Gefahrenbereich kommen,2
534,Erkundung ergeben Stoffidentifikation Schwefelsäure keine Einsatzkraft betritt den Gefahrenbereich verstanden,2
535,Es handelt sich um einen umgekippten 20Liter Kanister der vom Regal runtegefallen ist und sich geöffnet handelt,2
536,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,1
537,Falsch den hast du ja gar nicht,6
538,D2 von Zugführer kommen,4
539,D2 hört kommen,5
540,Die manipulation wird vom Trupp D2 vorgenommen wir warten weiter ab,2
541,Für sie zur Information es handelt sich um folgenden stoff Schwefelsäure,2
542,für sie als Auftrag mit dem D2 einen umgefallenen Kanister der sich geöffnet hat der die Flüssigkeit enthält aufnehmen und in ein Überfass befördern kommen,1
543,Verstanden Auftrag wird ausgeführt ende,7
544,Gruppenführer von Zugführer kommen,4
545,D2 von Zugführer kommen,4
546,D2 hört kommen,5
547,Frage an sie sie hatten auch das aufnahmebild vom inneren der Lagerhalle gesehen kommen,3
548,Ja,7
549,D1 von Zugführer kommen,4
550,D1 hier kommen,5
551,Für sie Paralleleinsatz der D2 geht zur Manipulation in die Lagerhalle vor,2
552,für sie Bereitstellung eines Luftbildes aus der Halle kommen,1
553,Verstanden ende,7
554,Gruppenführer von Zugführer kommen,4
555,Sie haben sprechwunsch,5
556,Das ist so korrekt,2
557,der befindet sich gerade in der Anfahrt zum Gefahrgutobjekt,2
558,für sie logistische Unterstützung durch den D3 mit dem Überfass kommen,1
559,D2 auf der Anfahrt zur Manipulation D3 zur Unterstützung vor das ist verstanden kommen,7
560,Ja das ist so korrekt ende,2
561,D2 von Zugführer kommen,4
562,Was soll mit dem Kanister geschehen kommen,3
563,Ja das ist so korrekt warten sie noch auf den D3 der wird ihnen als Logistikaufgabe das Überfass bereitstellen kommen,2
564,D2 von Zugführer kommen,4
565,D2 hört kommen,5
566,Ja für sie zur Information bitte warten bis der D3 als Logistikunterstützung kommt,1
567,er wird ihnen das Überfass zum sichern des Behältnisses bereitstellen kommen,2
568,Verstanden wir warten kommen,7
569,Ja das ist soweit verstanden,2
570,Gruppenführer von Zugführer kommen,4
571,Gruppenführer hört,5
572,Frage status D3 kommen,3
573,Der D3 ist einsatzbereit und wartet auf einen Befehl,2
574,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,1
575,D3 fährt zum D2 vor und Vorbereitung des Überfasses kommen,7
576,Ja so korrekt ende,2
577,Zugführer von Gruppenführer kommen,4
578,Hier Zugführer kommen,5
579,Die Standorte der Roboter sind im Lagebild nicht zu erkennen kommen,2
580,Ja das ist verstanden,2
581,gebe das an den Techniker hier weiter kommen,2
582,Ja verstanden ende,2
583,D2 von Zugführer kommen,4
584,D2 hört kommen,5
585,D3 mit Überfass ist am Standort angekommen,2
586,für sie Beginn des Auftrages Bergung des Behältnisses kommen,1
587,Auftrag wird ausgeführt kommen,7
588,Ja das ist so korrekt ende,2
589,Zugführer D1 bitte kommen,4
590,Hier Zugführer kommen,5
591,D1 müsste nachladen bitte kommen,2
592,Bitte die Aussage wiederholen kommen,1
593,D1 müsste neue Batterien bekommen dazu müssen wir landen bitte kommen,2
594,WHS von Zugführer kommen,4
595,Hier WHS kommen,5
596,Der D1 ist jetzt gerade im Akkuwechsel,2
597,für sie Übergangsauftrag Bilddarstellung in der Lagerhalle innen kommen,1
598,Auftrag verstanden ende,7
599,D2 von Zugführer kommen,4
600,D2 hört kommen,5
601,Frage ist die Position des Überfasses ausreichend kommen,3
602,Die Position von D3 ist OK kommen,7
603,Ja das ist verstanden ende,2
604,Zugführer an WHS kommen,4
605,Zugführer von D1,4
606,Hier Zugführer kommen,5
607,D1 ist wieder bereit bitte kommen,2
608,Ja das ist verstanden,2
609,für sie noch kurze Pause WHS ist gerade im Erkundungsflug kommen,2
610,Haben verstanden ende,2
611,Gruppenführer von Zugführer kommen,4
612,Gruppenführer hört,5
613,Frage Status Lagebildsystem,3
614,Ja die Roboter D1 und D2 im Lagebild ersichtlich kommen,2
615,Ja das ist verstanden,2
616,D3 und D5 können nicht im Lagebild dargestellt werden,2
617,D3 und D5 können nicht im Lagebild dargestellt werden das ist verstanden,2
618,Zugführer von D2 kommen,4
