id,speakers,isoda,tokens,tags
113,UGV-2,Anbieten,ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe,2
114,TL,Auto-postiv,ja verstanden,2
115,UGV-2,Rufen,Einsatzleiter von UGV 2 kommen,4
116,TL,Anruf akzeptieren,ich höre,5
117,UGV-2,Informieren,das Bild ist geteilt,2
118,TL,Bestätigen,ja ist bei mir angekommen,2
119,UGV-2,Situationsfrage,Frage: sollen wir da jetzt reinfahren?,3
120,TL,Sonstiges,warte ich muss eben erst gucken,6
121,TL,Task akzeptieren,ja fahrt da mal rein,7
122,UGV-2,Auto-postiv,ja verstanden,2
123,UGV-2,Antwort,das müsste irgendwo im westlichen Bereich sein,2
124,UAV,Rufen,Einsatzleiter von UAV,4
125,TL,Anruf akzeptieren,ich höre,5
126,UAV,Informieren,ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt,2
127,UAV,Informieren,ich kann keine Rauchentwicklung erkennen,2
128,TL,Auto-postiv,ja verstanden,2
129,UAV,Rufen,Einsatzleiter von UAV,4
130,TL,Anruf akzeptieren,ich höre,5
131,UAV,Informieren,also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes,2
132,UAV,Anbieten,ich schicke dir ein Bild,2
133,UGV-1,Rufen,Einsatzleiter von UAV 1,4
134,TL,Anruf akzeptieren,höre,5
135,UGV-1,Sonstiges,ich korrigiere - UGV 1,6
136,TL,Anruf akzeptieren,ja kommen Sie,5
137,UGV-1,Informieren,ja ich stehe jetzt am Fuß der Rampe,2
138,UGV-1,Informieren,hab dir ein Bild geschickt,2
139,UGV-1,Anfordern,kannst du mal was gucken ob da was Interessantes ist,2
140,TL,Task akzeptieren,ja danke,7
141,UGV-1,Informieren,zur Info das ist der Blick in östlicher Richtung,2
142,TL,Rufen,UAV von Einsatzleiter,4
143,UAV,Anruf akzeptieren,ich hör' dich,5
144,TL,Informieren,wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus,2
145,TL,Situationsfrage,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,1
146,UAV,Versprechen,ja wir schalten gerade um ich komme gleich wieder mit neuen Infos,7
147,TL,Rufen,UGV 2 von Einsatzleiter,4
148,UGV-2,Anruf akzeptieren,UGV 2 hört,5
149,TL,Anfordern,schickst du mir noch mal ein aktuelles Foto euren Standortes?,1
150,UGV-2,Task akzeptieren,ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt,7
151,UAV,Rufen,Einsatzleiter von UAV,4
152,TL,Anruf akzeptieren,ich höre,5
153,UAV,Informieren,ich hab dir ein Bild von der Wärmebild-Kamera geschickt,2
154,UAV,Informieren,unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank,2
155,UAV,Situationsfrage,guckst du mal?,2
156,TL,Task akzeptieren,ja mache ich,7
157,UGV-2,Rufen,Einsatzleiter von UGV 2 kommen,4
158,TL,Anruf akzeptieren,ich höre,5
159,UGV-2,Informieren,ja ich habe nochmal ein Foto gezeigt,2
160,UGV-2,Informieren,UGV 1 ist gerade an uns vorbei gefahren,2
161,UGV-2,Task akzeptieren,sollen wir versuchen uns anzuschließen?,3
162,UGV-2,Task akzeptieren,abz- anzuschließen,6
163,TL,Task akzeptieren,ja macht ihr mal,7
164,UAV,Rufen,Einsatzleiter von UAV,4
165,TL,Anruf akzeptieren,höre,5
166,UAV,Anfordern,wir müssen gleich nochmal den Akku tauschen,2
167,UAV,Situationsfrage,hast du danach noch einen Auftrag für uns?,3
168,TL,Sonstiges,ja landet erst mal ihr kriegt einen neuen Auftrag,7
169,UAV,Auto-postiv,ja ist verstanden,2
170,TL,Rufen,UGV 2 von Einsatzleiter,4
171,UGV-2,Anruf akzeptieren,UGV 2 hört,5
172,TL,Situationsfrage,du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,3
173,UGV-2,Informieren,wir haben aktuell immer noch Probleme mit der Steuerung,0
174,UGV-1,Informieren,UGV 1 erreicht gerade die erste Ebene,7
175,TL,Auto-postiv,das ist verstanden,2
176,TL,Anfordern,schickst du mir dann auch von da mal ein Foto?,1
177,UGV-1,Auto-postiv,ja das ist verstanden,7
178,UAV,Rufen,Einsatzleiter von UAV,4
179,TL,Anruf akzeptieren,ich höre,5
180,UAV,Informieren,wir wären wieder startklar wenn du was neues für uns hast?,2
181,TL,Task akzeptieren,ja ich melde mich gleich bei euch,2
182,UGV-1,Rufen,Einsatzleiter von UGV 1,4
183,TL,Anruf akzeptieren,ich höre,5
184,UGV-1,Informieren,Foto ist erstellt und geteilt,2
185,UGV-1,Informieren,man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost,2
186,TL,Anfordern,könnt ihr mir Näheres zu dem Behälter geben?,3
187,UGV-1,Anbieten,ich fahr mal näher ran und erkunde,2
188,TL,Auto-postiv,ja verstanden,2
189,TL,Rufen,UGV 1 von Einsatzleiter,4
190,UGV-1,Anruf akzeptieren,UGV 1 hört,5
191,TL,Check Frage,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,3
192,UGV-1,Bestätigen,das ist korrekt,7
193,UGV-1,Anbieten,ich schicke dir auch gleich nochmal ein Bild mit der Thermal-Kamera,2
194,TL,Auto-postiv,ja verstanden,7
195,UAV,Rufen,Einsatzleiter von UAV,4
196,TL,Anruf akzeptieren,ich höre,5
197,UAV,Informieren,ja wir haben uns gerade die Bilder noch einmal angeguckt,2
198,UAV,Task akzeptieren,da könnte nochmal was sein,2
199,UAV,Anbieten,wir steigen nochmal auf und gucken uns das nochmal an,2
200,TL,Bestätigen,ja insbesondere was die Wärmeentwicklung geht anbetrifft,1
201,TL,Informieren,da konnte man nicht viel erkennen,2
202,UAV,Task akzeptieren,ja ich versuch dir nochmal ein besseres Bild zu liefern,7
203,TL,Auto-postiv,ja verstanden,2
204,UGV-1,Rufen,Einsatzleiter von UGV 1,4
205,TL,Anruf akzeptieren,höre,5
206,UGV-1,Anfordern,schicke dir nochmal ein Bild,2
207,UGV-1,Informieren,wir haben hier einen Gefahrenzettel auf dem Behälter,2
208,TL,Auto-postiv,ja verstanden,2
209,UGV-2,Rufen,Einsatzleiter von UGV 2,4
210,TL,Anruf akzeptieren,ich höre,5
211,UGV-2,Bestätigen,ja wir haben mittlerweile die Kontrolle gewonnen und sind jetzt auch bei UGV 1,2
212,UGV-2,Informieren,ich hab auch nochmal ein Bild geschickt,2
213,TL,Rufen,UGV 1 von Einsatzleiter,4
214,TL,Rufen,UGV 1 von Einsatzleiter,4
215,UGV-1,Anruf akzeptieren,UGV 1 hört,5
216,TL,Anfordern,Frage: könnt ihr den Behälter mal von einer anderen Seite anfahren und erkunden ob er noch verschlossen ist oder ob da irgendwas austritt?,1
217,UGV-1,Task akzeptieren,ja positiv wird gemacht,7
218,UAV,Rufen,Einsatzleiter von UAV,4
219,TL,Anruf akzeptieren,ich höre,5
220,UAV,Informieren,wir haben auf der Rückseite - also aus nördlicher Sicht an der Rauchentwicklung ein Objekt festgestellt wir können keine Gefahrstoff-Kennzeichnung erkennen,2
221,UAV,Informieren,ich hab dir jetzt zwei Bilder geschickt eine Detailaufnahme,2
222,TL,Auto-postiv,ja,2
223,TL,Task akzeptieren,ich schau mal rein,2
224,UGV-1,Rufen,Einsatzleiter von UGV 1,4
225,TL,Anruf akzeptieren,ich höre,5
226,UGV-1,Informieren,der Behälter scheint leer zu sein ich hab dir ein Bild geschickt,2
227,UAV,Rufen,Einsatzleiter von UAV,4
228,TL,Anruf akzeptieren,ja ich höre,5
229,UAV,Informieren,ich hab dir - oder ich schick dir gleich nochmal ein Bild rüber du siehst auf der Rückseite definitiv zwei Orte wo sich noch Glutnester befinden,2
230,TL,Auto-postiv,ja verstanden,7
231,UAV,Informieren,der eine Ort das sind zwei kleine Stellen das ist unter dem Fass was ich gerade schon mal geschickt habe und rechts davon siehst du auch da im Bild sehr deutlich 'ne Wärmesignatur die etwas größer ist,2
232,TL,Auto-postiv,ja verstanden,2
233,UGV-1,Rufen,Einsatzleiter von UGV 1,4
234,TL,Anruf akzeptieren,ich höre,5
235,UGV-1,Situationsfrage,reichen dir die Bilder?,3
236,UGV-1,Anbieten,dann würde ich die Erkundung auf dieser Ebene weiter fortsetzen,2
237,TL,Task akzeptieren,ja reicht mir erst mal aus,7
238,TL,Task akzeptieren,setz die Erkundung fort,7
239,UGV-2,Rufen,Einsatzleiter von UGV 2 kommen,4
240,TL,Anruf akzeptieren,ich höre,5
241,UGV-2,Situationsfrage,ja kriegen wir auch noch einen Auftrag?,3
242,TL,Auto-postiv,ja,7
243,TL,Anruf akzeptieren,ich komme sofort wieder,6
244,TL,Rufen,UGV 2 von Einsatzleiter,4
245,UGV-2,Anruf akzeptieren,UGV 2 hört,5
246,TL,Situationsfrage,seht ihr die drei Hochbehälter?,3
247,UGV-2,Ablehnen,negativ,0
248,UGV-2,Informieren,aber ich sehe gerade Rauchentwicklung von hier aus,2
249,UGV-2,Anfordern,soll ich mal ein Foto machen?,2
250,UGV-1,Rufen,Einsatzleiter von UGV 1,4
251,TL,Anruf akzeptieren,ich höre,5
252,UGV-1,Informieren,ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden,2
253,TL,Anfordern,ja schickst du mir nochmal ein Bild?,1
254,UGV-1,Auto-postiv,ja ist verstanden,7
255,UGV-1,Informieren,wir haben auch jetzt hier erhöhte Rauchentwicklung,2
256,TL,Auto-postiv,ja verstanden,2
257,UAV,Rufen,Einsatzleiter von UAV,4
258,TL,Anruf akzeptieren,ich höre,5
259,UAV,Informieren,ich hab dir doch noch ein Bild geschickt in Infrarot,2
260,UAV,Informieren,und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes,2
261,UAV,Informieren,- an der - an dem Tank,6
262,TL,Auto-postiv,ja verstanden,2
263,TL,Rufen,UGV 2 von Einsatzleiter,4
264,UGV-2,Anruf akzeptieren,UGV 2 hört,5
265,TL,Frage,Frage: wo ist jetzt euer Standort?,3
266,UGV-2,Informieren,wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde,2
267,TL,Anfordern,dann bewegt ihr euch einmal in östlicher Richtung?,3
268,UGV-2,Anfordern,dafür müsstest du mal sagen wo wir ungefähr sind,3
269,UGV-2,Antwort,weil das können wir selber klar nicht feststellen,2
270,UGV-1,Rufen,Einsatzleiter von UGV 1,4
271,TL,Anruf akzeptieren,ich höre,5
272,UGV-1,Informieren,ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren,2
273,UGV-1,Informieren,scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen,2
274,UGV-1,Informieren,Si- andere Signaturen,6
275,TL,Auto-postiv,ja verstanden,2
276,TL,Rufen,UGV 2 von Einsatzleiter,4
277,UGV-2,Anruf akzeptieren,UGV 2 hört,5
278,TL,Anfordern,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,1
279,UGV-2,Anruf akzeptieren,ja,7
280,UGV-2,Rufen,Einsatzleiter von UGV 2,4
281,TL,Auto-postiv,ja,5
282,UGV-2,Informieren,ja Foto ist geteilt,2
283,UGV-1,Rufen,Einsatzleiter von UGV 1,4
284,TL,Anruf akzeptieren,ja ich höre,5
285,UGV-1,Informieren,ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt,2
286,UGV-1,Antwort,scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich,2
287,UGV-1,Task akzeptieren,ich bin drauf ich versuch das mal zu rollen,2
288,TL,Auto-postiv,ja verstanden,2
289,TL,Rufen,UGV 2 von Einsatzleiter,4
290,UGV-2,Anruf akzeptieren,UGV 2 hört,5
291,TL,Check Frage,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,3
292,UGV-2,Bestätigen,ja das ist korrekt,7
293,TL,Rufen,UGV 2 von Einsatzleiter,4
294,UGV-2,Anruf akzeptieren,UGV 2 hört,5
295,TL,Anfordern,dann müsst ihr euch von da aus in östlicher Richtung bewegen,1
296,UGV-2,Anruf akzeptieren,ja,7
297,UGV-2,Frage,wie ist da meine Blickrichtung auf dem Bild?,3
298,TL,Informieren,schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken,2
299,UGV-2,Auto-postiv,ja verstanden,2
300,UAV,Rufen,Einsatzführer von UAV,4
301,TL,Anruf akzeptieren,ja ich höre,5
302,UAV,Informieren,ich müsste erneut zurück wegen Akku Tausch,2
303,UAV,Informieren,möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen,2
304,TL,Anfordern,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,1
305,UAV,Task akzeptieren,so machen wir das,7
306,UGV-1,Rufen,Einsatzleiter von UGV 1,4
307,TL,Anruf akzeptieren,ich höre,5
308,UGV-1,Informieren,ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel,2
309,UGV-1,Anfordern,schau dir das bitte mal an beide Bilder sind geteilt,2
310,TL,Auto-postiv,ja verstanden,7
311,UGV-1,Anbieten,ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen,2
312,TL,Auto-postiv,ja verstanden,7
313,TL,Situationsfrage,ihr setzt die Erkundung in östlicher Richtung weiter fort,7
314,TL,Rufen,UGV 2 von Einsatzleiter,4
315,UGV-2,Anruf akzeptieren,UGV 2 hört,5
316,TL,Frage,Frage: wo ist euer Standort inzwischen?,3
317,UGV-2,Auto-postiv,immer noch nicht klar,2
318,TL,Rufen,UAV von Einsatzleiter,4
319,UAV,Anruf akzeptieren,hier ist die UAV,5
320,TL,Situationsfrage,Frage: könnt ihr aus eurer Position den UGV 1 sehen?,3
321,UAV,Versprechen,wir sind unterwegs und melden uns gleich nochmal,6
322,TL,Anfordern,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war,1
323,UAV,Auto-postiv,ja ist verstanden,7
324,UGV-1,Rufen,UAV von UGV 1 kommen,4
325,UAV,Anruf akzeptieren,hier ist UAV,5
326,UGV-1,Informieren,ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden,2
327,UAV,Situationsfrage,hast du eine Ebene? auf welcher Ebene?,3
328,UGV-1,Informieren,ja auf der ersten Ebene zu den Rampen hin,2
329,UAV,Anruf akzeptieren,ja ich sehe dich,2
330,UAV,Rufen,Einsatzleiter von UAV,4
331,TL,Anruf akzeptieren,ja ich höre,5
332,UAV,Situationsfrage,ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen?,3
333,TL,Situationsfrage,ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,3
334,UAV,Ablehnen,ja ist negativ,0
335,UAV,Informieren,das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug,2
336,UAV,Anruf akzeptieren,das U- das erdgebundene,6
337,TL,Auto-postiv,ja das ist verstanden,2
338,TL,Rufen,UGV 2 von Einsatzleiter,4
339,UGV-2,Anruf akzeptieren,UGV 2 hört,5
340,TL,Situationsfrage,wie weit seid ihr?,3
341,UGV-2,Bestätigen,ja ich bin jetzt wieder im Außenbereich,2
342,UGV-2,Informieren,hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen,2
343,TL,Anfordern,ja schickst du mir mal ein Foto?,1
344,UGV-2,Informieren,ja Foto kommt,7
345,TL,Rufen,UGV 1 von Einsatzleiter,4
346,UGV-1,Anruf akzeptieren,UGV 1 hört,5
347,TL,Anfordern,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,1
348,UGV-1,Task akzeptieren,ja das kann ich machen,7
349,UGV-1,Anbieten,ich breche dann die Erkundung in östlicher Richtung ab,2
350,TL,Auto-postiv,ja verstanden,2
351,UAV,Rufen,Einsatzleiter von UAV,4
352,TL,Anruf akzeptieren,ich höre,5
353,UGV-1,Informieren,nähere mich der Rauchquelle,2
354,UAV,Informieren,ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken,2
355,TL,Auto-postiv,ja das ist verstanden,2
356,UAV,Informieren,da bewegt sich das erdgebundene Fahrzeug gerade darauf zu,2
357,UGV-2,Rufen,Einsatzleiter von UGV 2 kommen,4
358,TL,Anruf akzeptieren,ich höre,5
359,UGV-2,Informieren,ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt,2
360,TL,Auto-postiv,ja verstanden,2
361,UGV-2,Informieren,und ich glaube da kommt UGV 1 auch wieder angerollt,2
362,UGV-1,Bestätigen,ja das ist korrekt,2
363,UAV,Rufen,UGV 1 von UAV 1,4
364,UGV-1,Anruf akzeptieren,ich höre dich,5
365,UAV,Informieren,ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter,2
366,UGV-1,Auto-postiv,ja ist verstanden,2
367,UAV,Informieren,die Wärmesignaturen sind schwarze Punkte,2
368,UGV-1,Situationsfrage,Frage: ist das schon erfolgt?,3
369,UAV,Informieren,Bild ist draußen ich hab's geteilt,7
370,UAV,Situationsfrage,kannst du die Bilder sehen? UGV?,3
371,UGV-1,Ablehnen,nein negativ,0
372,TL,Rufen,UAV von Einsatzleiter,4
373,UAV,Anruf akzeptieren,hier ist die UAV,5
374,TL,Situationsfrage,konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,3
375,UAV,Informieren,bisher ist das einzige,2
376,TL,Auto-postiv,ja verstanden,2
377,UAV,Rufen,UGV 1 von UAV,4
378,UGV-1,Anruf akzeptieren,ja,5
379,UGV-1,Informieren,ich hab die brennenden Punkte gefunden,2
380,UAV,Bestätigen,ja das ist schon mal gut ja,2
381,TL,Rufen,UGV 1 von Einsatzleiter,4
382,UGV-1,Anruf akzeptieren,ich höre dich,5
383,TL,Frage,ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich?,3
384,UGV-1,Antwort,ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser,2
385,TL,Auto-postiv,ja das ist verstanden,2
386,TL,Rufen,UAV von Einsatzleiter,4
387,UAV,Anruf akzeptieren,hier ist die UAV,5
388,UAV,Informieren,wir gehen runter zur Landung Akkutausch,2
389,TL,Auto-postiv,das ist verstanden,2
390,UGV-1,Rufen,Einsatzleiter von UGV 1 kommen,4
391,TL,Anruf akzeptieren,ich höre,5
392,UGV-1,Informieren,ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt,2
393,TL,Auto-postiv,ist verstanden,2
394,TL,Informieren,ich kann momentan aus technischen Gründen nur leider nichts sehen,2
395,UGV-1,Auto-postiv,ja ist verstanden,2
396,UAV,Rufen,Einsatzleiter von UAV,4
397,TL,Anruf akzeptieren,höre,5
398,UAV,Bestätigen,ja wir brauchen noch einen Augenblick,2
399,UAV,Anfordern,tauschen eben die Kameras,2
400,UAV,Anbieten,dann sind wir wieder dabei und suchen dann nach weiteren Fässern,2
401,TL,Auto-postiv,ja verstanden,2
402,TL,Check Frage,in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,3
403,UAV,Auto-postiv,ja ist verstanden,2
404,UAV,Informieren,wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus,0
405,TL,Auto-postiv,okay,2
406,TL,Rufen,an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV,4
407,TL,Anruf akzeptieren,Übungsende,2
408,UGV-1,Auto-postiv,UGV 1 verstanden,2
409,UGV-2,Auto-postiv,UGV 2 verstanden,2
410,UAV,Auto-postiv,UAV auch verstanden,2
411,WHS,Rufen,Zugführer von WHS kommen,4
412,ZF,Rufen,Gruppenführer von Zugführer kommen,4
