UGV-1	ich hab jetzt nochmal ein Foto gesendet wo man das auch seiteliegende Fass und den blauen Kanister so im rückwärtigen Bereich erkennen kann, da musst du genau hingucken	Inform
UAV	Benno für Lena	TurnAssign
TL	Aussetzung von Thermik?	Question
TL	UGV 1 von Teamleader, kommen	TurnAssign
TL	UGV-1 von Einsatzleitung	TurnAssign
TL	ich höre	TurnAccept
UGV-2	hört	TurnAccept
UGV-2	Frage: sollen wir da jetzt reinfahren?	Offer
UGV-2	UGV-2 mitgehört kriegst auch ein Foto	Auto-positive
UGV-1	Aber kann da nicht näher erkunden da da ein Geländer im Weg ist kommen	Inform
TL	verstanden	Auto-positive
TL	benötige Luftbild mit möglichst der leblosen Person die auf dem Wärmescan den ich hier habe zu sehen ist	Request
UGV-1	Ich denke also ich denke das ist ein Ölfass ich weiß nicht genau was drin ist übliches Rundfass	Inform
UGV-1	also - ich bin jetzt oben im ersten Raum, auch hier ist der Angriffstrupp nicht vorzufinden	Inform
TL	ja verstanden	Auto-positive
TL	UAV Operator für Teamleader, kommen	TurnAssign
UAV	Markus für Dirk kommen	TurnAssign
TL	ja, verstanden	Auto-positive
UGV-2	Einsatzleiter von UGV 2, kommen	TurnAssign
UGV-1	ja, ich fahr' gerade näher	Confirm
TL	schauen Sie mal im Umkreis ob dort Rettungskräfte sich bewegen kommen	Request
TL	könnt ihr den Bereich mal abschwenken mit der Kamera, und nach eventuellen Brandnestern suchen?	Request
TL	ja, ich höre	TurnAccept
UGV-1	Ja my robot is lost	Inform
TL	Dirk kommen	TurnAccept
UGV-2	negativ	Disconfirm
TL	Ja soweit verstanden	Auto-positive
TL	hier Markus an alle Operator	TurnTake
UGV-1	soll ich an diesen Standort stehen bleiben?	PropositionalQuestion
UAV	UAV Operator hört	TurnAccept
UAV	UAV hat Softwareprobleme wir versuchen es zu beheben	Inform
UGV-2	Einsatzleiter von UGV 2	TurnAssign
UAV	ich habe Rauch gefunden, und weitere Personen	Inform
UGV-1	hier Andreas kommen	TurnAccept
UAV	Wir haben da wahrscheinlich dann Probleme mit der Datenverbindung	Inform
UAV	wobei wir jetzt nur westlich gesucht haben, von meinem Standpunkt aus	Inform
UAV	ich hab' gerade Schwierigkeiten, weil ich seh' dich auf dem anderen Bild gerade nicht du kannst aber in die Bilderbox gucken, da müsstest du eigentlich das Bild aus Sichtweise der Drohne sehen	AddressRequest
TL	Ja verstanden	Auto-positive
TL	ja, fahrt da mal rein	AcceptOffer
UGV-1	Ja soll ich mal losfahren dem Tango hinterher quasi?	Offer
TL	UGV 1 von Teamleader, kommen	TurnAssign
UGV-1	ist negativ, noch nicht	Disconfirm
UGV-1	ja verstanden ich suche weiter	AcceptRequest
TL	Übungsende	Inform
TL	zur Lage Menschenrettung durchgeführt und abgeschlossen	Inform
UGV-1	Andreas hat verstanden	Auto-positive
UGV-2	der Roboter ist momentan wieder ausgesetzt kann sich also gar nicht bewegen	Inform
UGV-2	ja, ich rolle auch schon	Confirm
UGV-2	hört	TurnAccept
TL	ja, verstanden	Auto-positive
TL	warten	Pausing
TL	dann schick mir mal 'n Foto davon	Request
UGV-2	Ja ich versuchte ihn gerade in den Behälter zu setzen aber irgendwie hat er sich aufgehangen	Confirm
UAV	Einsatzleiter von UAV	TurnAssign
UAV	ja, ich hätte jetzt einmal ein Luftbild von oben, einmal eins zu Übersicht, das schicke ich dir jetzt	Inform
TL	Frage: Einsatzbereitschaft?	Question
UGV-1	ja, das erste Bild hab ich dir gerade schon gesch-	Inform
TL	einen Augenblick, ich melde mich gleich, erst muss der Angriffstrupp da gewesen sein	Pausing
UAV	Ja	Agreement
TL	UGV 2 von Einsatzleiter	TurnAssign
UGV-1	Fotos sind raus	Inform
UGV-1	ja Andreas mitgehört drei gehfähige Personen	Auto-positive
UGV-1	ja, weil ich stehe vor einer da liegt auch ein Trümmerteil davor	Inform
UGV-2	ja, kommt sofort	AcceptRequest
TL	Hinweis an alle die vermisste Person ist noch nicht gefunden kommen	Inform
UAV	auf einem Wärmebild ist links liegend die Person auf einem zylindrigen Gegenstand	Answer
UGV-2	befinde mich noch in der Startposition	Inform
TL	melden wenn Einsatzbereitschaft gegeben	Request
TL	Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung	Request
UAV	wir wären wieder startklar, wenn du was neues für uns hast?	Inform
TL	ja verstanden die Drohne startet wieder	Auto-positive
UAV	ich müsste erneut zurück wegen Akku Tausch	Inform
TL	UAV 1, kommen	TurnAccept
TL	Also ich seh euch beide ihr steht beide am Eingang des Ganges hintereinander	Inform
UGV-2	UGV 2 hört	TurnAccept
UGV-1	nein, negativ	Disconfirm
UAV	Das ist südlich das ist es an der an der Position wo Echo-Start wo der Echo-Punkt ist also der der Halleneingang hier	Answer
UGV-1	ja ich setze Personensuche fort	AcceptRequest
UGV-1	Ich bestehe an einem Gang am Anfang der Halle Eingang Blickrichtung kann ich dir jetzt nicht sagen	Inform
UGV-2	Teamleiter von UGV-2	TurnAssign
TL	du hast mir jetzt ein weiteres Foto geschickt, ist das richtig?	CheckQuestion
TL	das ist eigentlich nicht notwendig	DeclineOffer
TL	das ist verstanden	Auto-positive
TL	UGV 2 von Einsatzleiter	TurnAssign
UGV-2	ja, ich hab hier technische Probleme, ich kann meine Flipper nicht bewegen und der Laser hat hinter sich	Inform
UGV-2	ja, UGV 1 von UGV 2	TurnAssign
TL	Robot 2 von Thorsten kommen	TurnAssign
TL	Teamleader, verstanden	Auto-positive
TL	hier Markus kommen	TurnAccept
TL	Lena, sag nochmal die letzte Meldung, hab ich nicht mitgekriegt	Auto-negative
TL	Frage zunächst, wer hat den Roboter mit dem Arm?	SetQuestion
UGV-2	nein negativ	Disconfirm
UAV	ich teile dir jetzt noch ein Bild, wo du zwei Punkte siehst, die Wärmesignaturen plus dich, deine Position und deinen Begleiter	Offer
UGV-1	ja, ich stehe jetzt am Fuß der Rampe hab dir ein Bild geschickt kannst du mal was gucken, ob da was Interessantes ist	Inform
UAV	Ja ich hab dir ein Bild geteilt mit einem recht guten Überblick über die Gebäudestruktur und die Halle vielleicht hilft es zu	Inform
TL	Gruppe Drohne von Teamleader, kommen	TurnAssign
UGV-1	Ja Teamleader von UGV-1 kommen	TurnAssign
TL	Okay das scheint 297 zu sein	Answer
TL	du hattest mir gerade das Bild geschickt, ja?	CheckQuestion
UGV-1	ja Andreas mitgehört zwei Personen in der Nähe des Hochofens	Auto-positive
UGV-1	habe im ersten OG gerade in der Brandentwicklung ein Gefahrgut-Fass grün mit der Kennzeichnung umweltgefährdender Stoff entdeckt	Inform
TL	UGV 2 erreicht?	PropositionalQuestion
TL	UGV-2 ich krieg deine Daten immer noch nicht	Disagreement
TL	Lena für Benno, kommen	TurnAssign
UAV	ich hab dir doch noch ein Bild geschickt in Infrarot	Inform
UGV-1	eine Person am Boden liegend gefunden	Inform
UGV-1	kommen	TurnAccept
TL	an allen - an alle Einsatz- eingesetzten Kräfte, UGV 1, UGV 2 und UAV	TurnTake
TL	UGV 1 damit warten	DeclineOffer
TL	du sollst zur Rauchentwicklung fahren	Request
TL	UGV-2 von Teamleiter	TurnAssign
UAV	aber ich hab nochmal ein Bild hinterher geschickt, die Rauchentwicklung, die verringert sich zwischenzeitlich immer wieder es ist aber auch sehr schwierig, aufgrund des Windes, genaue Bilder zu erkennen, weil die Drohne noch sehr stark hin und her schwankt	Inform
UGV-1	Ich würde jetzt einfach geradeaus fahren und schauen was ich so weiter finde Kommen	Offer
UGV-1	weitere Foto von grünen Fass mit grüner Flasche drauf wurde dir entsandt	Inform
TL	UGV 1 von Einsatzleiter	TurnAssign
TL	Thorsten hört kommen	TurnAccept
UGV-1	Ja mein TDS muss neu gestartet werden	Inform
UGV-1	ja, ich hab 'n blaues Fass gefunden mit Aufschrift	Inform
TL	folgenden Auftrag an Roboter 2 suchen Sie den Standort des Roboters 1	Request
TL	ich schick dir den Angriffstrupp	Promise
TL	ja, verstanden	Auto-positive
UGV-2	Ja also ich hab gerade jetzt hier ein blaues Fass gefunden so ein übliches Chemikalienfass	Inform
UGV-1	Teamleader von UGV 1	TurnTake
UGV-1	Hier UGV-1	TurnAccept
TL	Thorsten hört kommen	TurnAccept
TL	Höre	TurnAccept
TL	ja, verstanden	Auto-positive
TL	Ursache ist unbekannt Rauchentwicklung, vermutlich auch Feuer, mehrere vermisste Personen, Anzahl der vermissten Personen ist ebenfalls unbekannt	Inform
UGV-2	hab ich schon	AddressRequest
TL	ja, höre	TurnAccept
TL	Teamleader hört	TurnAccept
TL	dass du dieses Bild nochmal machst, aber reinzoomst	Request
TL	UGV 2 von Einsatzleiter	TurnAssign
UGV-2	wir haben aktuell immer noch Probleme mit der Steuerung	Inform
TL	Auftrag lautet aus der Luft versuchen den Roboter 1 zu finden und dann abzufotografieren	Request
TL	hier Markus verstanden	Auto-positive
UGV-1	nein negativ	Disconfirm
UAV	ich hab dir gerade noch mal ein Bild geteilt, und zwar ist genau in dem Fadenkreuz sichtbar, das sind zwei Punkte, die Wärme abstrahlen, da müsstest du nochmal nachgucken	Inform
TL	zwischen den Hochöfen, da steht irgendwo ein grünes Fass und da kommt die Rauchentwicklung her	Inform
TL	die linke Treppe oder die rechte Treppe auf dein'm Foto?	ChoiceQuestion
UGV-1	Ich seh ein extrem helles hell beleuchtetes Gerät	Inform
TL	nochmal wiederholen Andreas	Auto-negative
UAV	Markus für Dirk	TurnAssign
UGV-1	ja, das ist negativ	DeclineOffer
UAV	neuer Akku ist bereit	Inform
TL	Kannst du ein Foto machen?	Request
UGV-1	habe den westlichen Hallenteil bis zum Ende jetzt erkundet, keine weiteren Erkenntnisse	Inform
TL	Haben Sie irgendwelche Anzeichen von Gebäudeschäden gefunden?	Question
TL	ja verstanden	Auto-positive
UGV-2	ja, wie ist da meine Blickrichtung auf dem Bild?	AcceptRequest
UGV-1	der Teamleadaer von Operator 1, kommen	TurnAssign
TL	Feuerwehr Bochum von Markus kommen	TurnAssign
TL	Wenn ihr gleich vorgeht bitte meldet mir die üblichen Gefahren an der Einsatzstelle, Feuer, Opfer	Request
TL	ja, UAV, wie sieht's aus, könnt ihr fliegen?	Question
TL	verstanden	Auto-positive
TL	Einsatzauftrag bitte aufsteigen Übersichtsfoto machen wenn möglich aus allen vier Himmelsrichtungen kommen	Request
UGV-1	ich bin drauf, ich versuch das mal zu rollen	Offer
TL	Teamleader	TurnAccept
UGV-2	ja, Teamleader von UGV 2	TurnAssign
TL	Sie kommt sehr leise über Funk	Inform
UAV	links mittig ist die Person liegend	Inform
UAV	ja wir schalten gerade um, ich komme gleich wieder mit neuen Infos	Promise
UAV	gut	AcceptRequest
TL	ich höre	TurnAccept
UGV-1	ja, ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt	Inform
TL	ich höre	TurnAccept
UGV-1	Ja schau mal auf das Foto bin ich in der Nähe des UGV-2? Frage	Request
TL	Kommen	TurnAccept
UGV-1	negativ keine nennenswerten Erkenntnisse	Disconfirm
UAV	die Situation von gerade kann ich jetzt nicht mehr gut einsehen weil die Rauchwolke genau davor ist	Inform
UGV-2	Ja dann versuche ich mal vorsichtig zurückzukommen	AcceptRequest
TL	Roboter 1 können Sie den Standort nochmal anfahren	Request
TL	ich hör' dich	TurnAccept
TL	UAV von Einsatzleiter	TurnAssign
UGV-1	ich kann dir lediglich ein Wärmebild schicken	Offer
TL	ja, fahr mal rein	AcceptOffer
TL	verstanden	Auto-positive
UGV-1	das ist richtig, und da bin ich gerade am Anfangen	Confirm
UGV-1	ja, ist verstanden	AcceptRequest
UGV-2	Ergeht irgendwie so eine Plattform mit so einer Metallbox auf Palette	Inform
TL	ist verstanden, ich kann momentan aus technischen Gründen nur leider nichts sehen	Auto-positive
UGV-1	Ja das ist okay ist verstanden	Auto-positive
UGV-2	ja, ist soweit verstanden	AcceptRequest
TL	habt ihr die Möglichkeit, die Ebene zu wechseln?	PropositionalQuestion
UAV	ja, wir haben uns gerade die Bilder noch einmal angeguckt, da könnte nochmal was sein	Inform
UGV-1	Teamleader von UGV-1 kommen	TurnTake
UGV-1	Viel zu weit entfernt	Inform
TL	O. k.	Auto-positive
UGV-2	Da steht ein Stuhl auf dem Stuhl liegt ein Paket und vor dem Stuhl steht ein Paket	Inform
TL	Guck dir das mal genauer an bitte wenn du da hochkommst	Request
UGV-2	Südliche Gebäudewand in westlicher Richtung kontrollieren	AcceptRequest
TL	Ich orientiere mich nur an der Karte das heißt nach rechts wäre Osten du folgst einfach der langen Straße praktisch	Instruct
TL	Und guck mal ob du ein genaues Bild von diesen Samples kriegen kannst	Request
UGV-2	wir haben massive Probleme mit der Steuerung	AddressRequest
TL	Teamleader hört	TurnAccept
TL	alles klar	Auto-positive
TL	ja, kommen Sie	TurnAssign
TL	das ist verstanden	Auto-positive
TL	Operator 1 für Benno	TurnAssign
TL	Dirk von Thorsten kommen	TurnAssign
TL	Dein Standort ist Position ECO richtig?	CheckQuestion
UGV-1	ich bin jetzt an dem Treppenabsatz sehe eine Person in orangefarbener Warnweste	Inform
UAV	die UAV hört	TurnAccept
TL	Teamleader hört Roboter 1	TurnAccept
UGV-2	das ist korrekt	Confirm
Speaker	Dialogue Turn Text	Communicative Function
TL	ja, verstanden	AcceptSuggestion
UGV-1	steht aufrecht und ist keinerlei Flüssigkeitsaustritt zu erkennen	Inform
TL	wer hat dieses Foto gemacht kommen	SetQuestion
TL	UAV von Einsatzleiter, kommen	TurnAssign
TL	stelle fest ein dichtes 200-Liter-Fass umweltgefährdend gekennzeichnet	Auto-positive
UGV-1	zur Zeit hier bei den Fässern kann ich nicht hoch	Disconfirm
TL	ja, das ist verstanden	Auto-positive
TL	Gib mir Bescheid wenn du weiterfährst	Request
TL	Hinweis an alle eingeteilten Kräfte Übungsende	Inform
TL	kann man von oben vielleicht mir ein Foto schicken?	Request
TL	ja, verstanden	Auto-positive
TL	folgenden Auftrag: den gleichen Weg nehmen wie Operator 1	Request
TL	Okay	Auto-positive
UGV-1	das ist richtig ich habe eine Person gefunden	Confirm
UAV	Benno für Lena	TurnAssign
TL	dann müsst ihr euch von da aus in östlicher Richtung bewegen	Request
UAV	die Drohne startet wieder	Inform
UAV	ja, du hattest gerade noch mal einen Auftrag, kann du den mir wiederholen?	Request
UGV-1	Markus von Andreas kommen	TurnAssign
UGV-1	Einsatzleiter von UGV 1	TurnAssign
TL	Ja ist verstanden	Auto-positive
UAV	Erbitte weitere Anweisungen	Request
TL	Höre	TurnAccept
UGV-2	wir stehen in der Nähe des grünen Fasses, also ist das grüne Fass kann ich durch die Kamera sehen, aber ich kann ihn nicht verfahren, das Radar scheint irgendwie nicht ge- richtig zu funktionieren	Inform
UGV-2	UGV-1 kriegt da noch eine Einweisung	Inform
UAV	die UAV hört	TurnAccept
TL	Teamleiter, verstanden	Auto-positive
UGV-1	UGV 1 Teamleader von UGV 1	TurnAssign
UGV-2	also, aktuell stehe ich noch an dem flachen Bereich der Rampe	Answer
UGV-1	ja, Frage: soll ich nach weiteren Personen suchen?	Offer
TL	wenn ich das richtig sehe, kommt der Rauch am rechten Behälter Blickrichtung Süd raus	Inform
TL	Dirk von Markus kommen	TurnAssign
UGV-1	ja richtig	Allo-positive
UAV	das habe ich verstanden	AcceptRequest
UAV	hast du eine Ebene? auf welcher Ebene?	Question
TL	wir haben keine am Boden liegend befindliche Person ist das korrekt?	Auto-positive
TL	ja, ist verstanden	Auto-positive
TL	alle bitte hier zum Treffpunkt ans Zelt kommen	Request
TL	Kreise mal bitte jetzt dann um ASA 352 herum	Request
UGV-1	ich mach ein Foto und schick's dir	Offer
UGV-1	Teamleader vom Operator 1	TurnAssign
UAV	Teamleader von der UAV, kommen	TurnAssign
UGV-1	ich habe dir einmal ein Thermo-Image der Person geschickt und einmal ein Live-Bild der Person	Inform
UAV	ja, wir haben einmal den Akku gewechselt, bis jetzt noch kein Rauch festzustellen, aber wir haben eine Person gefunden	TurnAccept
UGV-2	ja, hier steht wieder alles	Inform
TL	Bitte melden wenn wieder einsatzbereit	Request
UGV-2	ja, ist schon etwas länger her	Confirm
Speaker	Dialogue Turn Text	Communicative Function
UGV-1	Markus von Andreas kommen	TurnAssign
UAV	also es passt gut dass das drei gehfähige Personen an einer liegenden sind	Agreement
UGV-2	Ja das ist verstanden	Auto-positive
TL	mach mal Fotos auch, wenn du was findest, dass man den Weg nachvollziehen kann	Request
TL	Dein Einsatzauftrag trotzdem setz den Arm ein und nimm die Probe auf	Request
TL	UGV-1	TurnAssign
TL	das gleiche Bild, was du jetzt gemacht hast, da in die Mitte reinzoomen, da wo die Rauchentwicklung ist	Answer
UAV	wir werden gleich mit der Personensuche starten	Inform
TL	UGV-2	TurnAssign
UGV-1	ja, ist verstanden	Auto-positive
UGV-1	Markus von Andreas kommen	TurnAssign
UGV-1	ja Andreas kommen	TurnAccept
TL	Operator 2 für Benno, kommen	TurnAssign
TL	ich höre	TurnAccept
UGV-1	ja, ist verstanden	Auto-positive
UGV-1	weiterhin, das Fass nicht beschädigt	Inform
TL	Ich seh euch gleich am Eingang der Halle	Inform
TL	Höre	TurnAccept
UAV	Teamleiter 1 für UAV Operator	TurnAssign
TL	ja, verstanden	AcceptOffer
UGV-1	Teamleader von UGV 1	TurnTake
TL	wo ist denn deine Position jetzt?	SetQuestion
UGV-1	Treppenaufgang und dann direkt links blauer Kanister unbekannter Inhalt sieht auch ebenfalls dicht aus	Inform
UAV	unterhalb des Tankes ist Fleck, der auffällig ist, und recht oben am Tank guckst du mal?	Inform
TL	Treppenabsatz ersten OG nach 10 bis 20 metern linker Seite erste Person korrekt?	CheckQuestion
TL	verstanden Standort Treppenabsatz	Auto-positive
UGV-2	alle paar Sekunden setzt mir der Roboter aus	Inform
TL	UGV 2 von Einsatzleiter	TurnAssign
UAV	Lena hört	TurnAccept
TL	UAV von Einsatzleiter	TurnAssign
TL	ich höre	TurnAccept
TL	Dirk kommen	TurnAccept
UGV-2	UGV 2 hört	TurnAccept
UGV-1	ich habe hier extreme Rauchentwicklung	Inform
TL	Ja war schon weiter	AcceptOffer
UGV-1	ja, das verstanden	Auto-positive
UGV-1	Ja ich werd jetzt rechts abbiegen	Inform
UGV-1	jetzt die Frage, ob ich mich weiter fortbewegen soll	Question
TL	UGV 1 aber warten	Request
UGV-1	Eher Status 6 kommen	Answer
TL	ja, ist verstanden	Auto-positive
TL	ja, verstanden	Auto-positive
UGV-1	Ja kommt	AcceptRequest
TL	ja, startet mal und fliegt ja, startet erst mal	Answer
UGV-2	ja, ich hab jetzt nochmal zwei Bilder gemacht, einmal von der Rauchentwicklung und einmal von dem grünen Fass, was hier liegt	Inform
TL	absuchen der Fläche vielleicht finden wir die Person dort mit dem Wärmebild	Request
TL	UGV 2 von Einsatzleiter	TurnAssign
TL	mach mal ein Foto zur Orientierung für mich	Request
TL	ja	Auto-positive
TL	Ja das ist verstanden	Auto-positive
TL	UGV-1	TurnTake
TL	ja, verstanden	Auto-positive
TL	letzten Teil des Satzes habe ich nicht verstanden	Auto-negative
TL	Ja das ist verstanden	Auto-positive
UAV	die Drohne ist wieder in der Luft	Inform
UGV-1	kannst du mir nochmal ein bisschen näher beschreiben, wo die Rauchentwicklung ist?	Request
UAV	Einsatzleiter von UAV	TurnAssign
TL	hör dich	TurnAccept
TL	ja, ich melde mich gleich bei euch	Pausing
UGV-1	weitererkunden in westlicher Richtung, verstanden	Auto-positive
UGV-2	ja, ich versuche eigentlich, ins zweite Obergeschoss zu kommen, aber ich hab hier erhebliche Probleme mit der Technik mein Roboter ist Made in Taiwan	Inform
TL	ja, verstanden	Auto-positive
TL	UGV-1	TurnAccept
UAV	Markus für Dirk	TurnAssign
UAV	Vor zur Information und Protektion oberhalb	Inform
TL	ja, richtig	AcceptOffer
TL	du hast den Roboter mit der Infrarot-Kamera, ist das richtig?	CheckQuestion
UGV-1	ich höre dich	TurnAccept
UGV-1	ja, ich fahr zur Rauchentwicklung	AcceptRequest
UGV-1	ja, ist negativ	Disconfirm
TL	wir haben drei gehfähige und eine am Boden liegende Person	Inform
UGV-1	ja richtig	Allo-positive
TL	hast du Erkenntnis über zwei gehfähige Personen anhand dieses Bildes was ich auch erhalten habe?	PropositionalQuestion
UGV-1	ich beweg' mich weiter fort	Offer
UAV	Thorsten für Dirk kommen	TurnAssign
UGV-2	Hier UGV-2	TurnAccept
UGV-1	I lost the connection to the TDF	Inform
UGV-1	sobald ich eine Veränderung habe schicke ich dir ein Bild	AddressRequest
TL	UGV 2, hört	TurnAccept
TL	Höre	TurnAccept
TL	sollen also zwei bis drei Vermisste sein nach den ersten Aussagen	Inform
TL	Ja das ist verstanden	Auto-positive
TL	schau auch mal wie weit die Rauchentwicklung da ausgedehnt ist	Request
TL	Einsatzauftrag du fährst den langen Gang entlang ich gehe mal davon aus dass es am südlichen Wand der Halle ist und bleibst bitte auf der Ebene	Instruct
TL	Operator 1 für Teamleader, kommen	TurnAssign
UGV-1	ich kann das Fass noch einmal umkreisen und gucken ob es eine Beschriftung drauf ist	Offer
UAV	UAV hört	TurnAccept
UGV-2	Ja das ist so verstanden Ich fahr weiter Richtung Norden in die Halle rein und suche mir einen Zugang in Richtung Osten	Auto-positive
UAV	Weiter kann ich die Aufschrift des Chemikalienfasses nicht identifizieren da die verletzte Person im Weg sitzt	Inform
UGV-2	UGV 2 hört	TurnAccept
UAV	Thorsten für Dirk	TurnAssign
TL	Gibt's ein technisches Problem bei dir?	PropositionalQuestion
UGV-1	wir hätten die Möglichkeit, von hier aus in den Komplex reinzufahren und dort innen zu erkunden	Offer
TL	kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe, dass man einen Orientierungspunkt hat?	Request
TL	Gib mir bitte nochmal ein Foto von deiner Fahrtrichtung	Request
UAV	Lena hört	TurnAccept
UAV	der Akku ist jetzt leer, wir müssen jetzt auch landen, und warten am Boden auf weitere Anweisungen	Inform
TL	das ist verstanden	Auto-positive
UGV-1	korrekt das Fass selber ist grün	Agreement
TL	UGV 1, höre	TurnAccept
UGV-1	ja, ich hab gerade ein Foto geschossen, hier sind zwei Treppen auf der linken Seite, allerdings kein Angriffstrupp	Inform
TL	Okay	Auto-positive
TL	UGV 2 von Einsatzleiter	TurnAssign
UGV-1	der Teamleader von Operator 1, kommen	TurnAssign
UGV-1	Teamleader von UGV 1	TurnAssign
TL	Ja dann versuch vorsichtig zurückzukommen	Request
TL	neuer Auftrag lautet Suchen von Leckagen von Undichtigkeiten und Chemikalien	Request
TL	zur Lage die Personen sind alle gerettet und der medizinischen Versorgung zugeführt	Inform
TL	Das ist verstanden	Auto-positive
TL	wie verhalten sich die vier Personen verlassen sie das Gebäude und wenn ja in welche Richtung?	Question
TL	ja, versuch das mal	AcceptOffer
UGV-2	ich hab auch nochmal ein Bild geschickt	Inform
TL	ich höre	TurnAccept
TL	Wenn's geht fährst du nicht den Weg zurück den du gekommen bist sondern eben erst mal Richtung Süden von Darmstadt aus und dann wieder Richtung Richtung Startpunkt sozusagen	Instruct
UGV-1	von außen keine Gefahrensymbole von der Vorderseite, ich werde jetzt noch die rechte Seite erkunden	Inform
UAV	Alles klar danke	AcceptRequest
UGV-1	UGV 1 hört	TurnAccept
UGV-1	okay	AcceptRequest
TL	Sehen Sie den Victim der durch die Drohne eingegeben wurde?	Question
TL	UGV 2 von Einsatzleiter	TurnAssign
UGV-2	und dann war die andere Treppe, war mit so 'nem weißen Geländer abgesperrt, hier	Inform
TL	ja, schickst du mir nochmal ein Bild?	Request
UGV-1	Teamleader von UGV 1	TurnAssign
TL	Macht bitte Fotos von Positionen die euch blöd vorkommen oder interessant vorkommen	Request
TL	fahrt ihr runter oder fahrt ihr auch über diese Rampe?	ChoiceQuestion
UAV	müsste zu erkennen sein	Confirm
TL	Ja verstanden	Auto-positive
UAV	Benno für UAV Operator	TurnAssign
TL	kommst du näher an das blaue Fass, dass wir eine Erkennung haben?	PropositionalQuestion
UAV	Dirk hört	TurnAccept
TL	warten	Pausing
UGV-1	im ersten Obergeschoss wo ich mich gerade aufhalte müsste auch der Brandherd sein	Inform
UGV-1	zur Info, das ist der Blick in östlicher Richtung	Inform
TL	UGV 2 von Einsatzleiter, kommen	TurnAssign
TL	ja, verstanden	Auto-positive
UGV-1	ich sehe ein Fass was einfach nur umgekippt ist, keine Leckage	Answer
TL	ja, ich höre	TurnAccept
UAV	Teamleiter von UAV	TurnAssign
UAV	hier ist die UAV	TurnAccept
UGV-2	ja, UGV 2	Confirm
TL	ja hab ich mir fast gedacht	Auto-positive
UGV-2	Ich hab dir gerade ein Bild geschickt	Inform
TL	was machen die technischen Probleme, wieder einsatzbereit?	CheckQuestion
UGV-1	ja, Frage: soll ich weiter erkunden? das Fass liegen lassen, weiterfahren?	PropositionalQuestion
TL	ja such mal noch weiter	AcceptOffer
UAV	ja, das habe ich auch verstanden	AcceptRequest
UGV-1	scheint keine Flüssigkeit auszutreten, und Gefahrenzettel oder Si- andere Signaturen sind auch nicht zu sehen	Inform
TL	verstanden	Auto-positive
UGV-1	Das ist mir bekannt	Agreement
UAV	ja verstanden	AcceptRequest
TL	rechte Treppe hoch, rechts in den Raum rein, korrekt?	CheckQuestion
UGV-1	Markus von Andreas kommen	TurnAssign
UAV	dann sind wir wieder dabei und suchen dann nach weiteren Fässern	Promise
UAV	Dirk hört	TurnAccept
UAV	Benno für Lena, wir sind jetzt wieder startklar	TurnAssign
TL	das Fass, das steht dort irgendwo, das war nur zur Orientierung, aber mach mir mal ein Foto von dem Fass	Inform
