id,speakers,summary,tokens,tags
41,TL,TL : habt ihr die Möglichkeit die Ebene zu wechseln? UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe. UAV : ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen.,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,1
42,UAV,UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe. UAV : ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen. TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera,7
43,UGV-1,UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe. UAV : ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen. TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,Einsatzleiter von UGV 1,4
44,TL,UAV : ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen. TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen? UAV : ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera.,ich höre,5
45,UGV-1,UAV : ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen. TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen? UAV : ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera.,ich hab dir ein'n Schnappschuss erstellt,2
46,UGV-1,UAV : ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen. TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen? UGV-1 : ich hab dir ein'n Schnappschuss erstellt.,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,3
47,UGV-1,UAV : ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen. TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen? UGV-1 : ich hab dir ein'n Schnappschuss erstellt.,das wäre jetzt der Blick in den westlichen Teil der Halle,2
48,TL,TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen? UGV-1 : ich hab dir ein'n Schnappschuss erstellt. UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle.,UGV 1 von Einsatzleiter kommen,4
49,UGV-1,TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen? UGV-1 : ich hab dir ein'n Schnappschuss erstellt. UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle.,UGV 1 hört,5
50,TL,TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen? UGV-1 : ich hab dir ein'n Schnappschuss erstellt. UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle.,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,1
51,UGV-1,TL : könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen? UGV-1 : ich hab dir ein'n Schnappschuss erstellt. UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle.,weitererkunden in westlicher Richtung verstanden,7
52,TL,UAV : ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera. UGV-1 : ich hab dir ein'n Schnappschuss erstellt. UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle.,UGV 2 von Einsatzleiter,4
53,UGV-2,UGV-1 : ich hab dir ein'n Schnappschuss erstellt. UGV-1 : kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen? UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle.,UGV 2 hört,5
54,TL,UGV-1 : ich hab dir ein'n Schnappschuss erstellt. UGV-1 : kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen? UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle.,wo ist dein Standort im Moment?,3
55,UGV-2,UGV-1 : ich hab dir ein'n Schnappschuss erstellt. UGV-1 : kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen? UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle.,wir befinden uns auf einer Rampe,2
56,UGV-2,UGV-1 : kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen? UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle. TL : bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort.,ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg,2
57,TL,UGV-1 : das wäre jetzt der Blick in den westlichen Teil der Halle. TL : bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort. UGV-1 : weitererkunden in westlicher Richtung verstanden.,ja,7
58,TL,TL : bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort. UGV-1 : weitererkunden in westlicher Richtung verstanden. UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg.,UAV von Einsatzleiter,4
59,UAV,TL : bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort. UGV-1 : weitererkunden in westlicher Richtung verstanden. UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg.,hier ist die UAV,5
60,UAV,TL : bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort. UGV-1 : weitererkunden in westlicher Richtung verstanden. UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg.,wir haben zur Zeit technische Probleme,2
61,UAV,UGV-1 : weitererkunden in westlicher Richtung verstanden. UGV-2 : wir befinden uns auf einer Rampe. UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg.,und können noch keine neuen Bilder senden,2
62,TL,UGV-2 : wir befinden uns auf einer Rampe. UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg. UAV : und können noch keine neuen Bilder senden.,ja verstanden,2
63,TL,UGV-2 : wir befinden uns auf einer Rampe. UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg. UAV : und können noch keine neuen Bilder senden.,UGV 1 von Einsatzleiter,4
64,UGV-1,UGV-2 : wir befinden uns auf einer Rampe. UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg. UAV : und können noch keine neuen Bilder senden.,UGV 1 hört,5
65,TL,UGV-2 : wir befinden uns auf einer Rampe. UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg. UAV : und können noch keine neuen Bilder senden.,habt ihr schon neue Erkenntnisse?,3
66,UGV-1,UGV-2 : ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg. UAV : wir haben zur Zeit technische Probleme. UAV : und können noch keine neuen Bilder senden.,bisher negativ,0
67,TL,UAV : wir haben zur Zeit technische Probleme. UAV : und können noch keine neuen Bilder senden.,ihr bewegt euch weiter in westlicher Richtung?,3
68,UGV-1,UAV : wir haben zur Zeit technische Probleme. UAV : und können noch keine neuen Bilder senden. TL : ihr bewegt euch weiter in westlicher Richtung?,das ist korrekt,7
69,TL,UAV : wir haben zur Zeit technische Probleme. UAV : und können noch keine neuen Bilder senden. TL : ihr bewegt euch weiter in westlicher Richtung?,UGV 2 von Einsatzleiter,4
70,UGV-2,UAV : wir haben zur Zeit technische Probleme. UAV : und können noch keine neuen Bilder senden. TL : ihr bewegt euch weiter in westlicher Richtung?,ja ich UGV 2,5
71,UGV-2,UAV : und können noch keine neuen Bilder senden. TL : ihr bewegt euch weiter in westlicher Richtung?,ich komme gleich mit 'nem neuen Bild,2
72,UAV,TL : ihr bewegt euch weiter in westlicher Richtung? UGV-2 : ich komme gleich mit 'nem neuen Bild.,Einsatzleiter von UAV,4
73,TL,TL : ihr bewegt euch weiter in westlicher Richtung? UGV-2 : ich komme gleich mit 'nem neuen Bild.,ich höre,5
74,UAV,TL : ihr bewegt euch weiter in westlicher Richtung? UGV-2 : ich komme gleich mit 'nem neuen Bild.,also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen,2
75,UAV,TL : ihr bewegt euch weiter in westlicher Richtung? UGV-2 : ich komme gleich mit 'nem neuen Bild. UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen.,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,2
76,UAV,TL : ihr bewegt euch weiter in westlicher Richtung? UGV-2 : ich komme gleich mit 'nem neuen Bild. UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen.,au- aus,6
77,TL,TL : ihr bewegt euch weiter in westlicher Richtung? UGV-2 : ich komme gleich mit 'nem neuen Bild. UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen.,ja verstanden,2
78,UGV-1,UGV-2 : ich komme gleich mit 'nem neuen Bild. UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen. UAV : wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an.,ja Einsatzleiter von UGV 1 kommen,4
79,TL,UGV-2 : ich komme gleich mit 'nem neuen Bild. UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen. UGV-1 : ja Einsatzleiter von UGV 1 kommen.,ich höre,5
80,UGV-1,UGV-2 : ich komme gleich mit 'nem neuen Bild. UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen. UGV-1 : ja Einsatzleiter von UGV 1 kommen.,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,2
81,UGV-1,UGV-2 : ich komme gleich mit 'nem neuen Bild. UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen. UGV-1 : ja Einsatzleiter von UGV 1 kommen.,wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden,2
82,TL,UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen. UAV : wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an. UGV-1 : ja Einsatzleiter von UGV 1 kommen.,ja fahr mal rein,7
83,UGV-1,UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen. UAV : wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an. UGV-1 : ja Einsatzleiter von UGV 1 kommen.,ja verstanden,2
84,TL,UAV : also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen. UAV : wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an. UGV-1 : ja Einsatzleiter von UGV 1 kommen.,UGV 2 von Einsatzleiter,4
85,UGV-2,UAV : wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an. UGV-1 : ja Einsatzleiter von UGV 1 kommen. UGV-1 : ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist.,UGV 2 hört,5
86,TL,UGV-1 : ja Einsatzleiter von UGV 1 kommen. UGV-1 : ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist. UGV-1 : wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden.,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,3
87,UGV-2,UGV-1 : ja Einsatzleiter von UGV 1 kommen. UGV-1 : ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist. UGV-1 : wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden.,also aktuell stehe ich noch an dem flachen Bereich der Rampe,2
88,TL,UGV-1 : ja Einsatzleiter von UGV 1 kommen. UGV-1 : ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist. UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe.,kannst du mir ein Bild schicken?,1
89,UGV-2,UGV-1 : ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist. TL : fahrt ihr runter oder fahrt ihr auch über diese Rampe? UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe.,ja kommt sofort,7
90,UGV-1,UGV-1 : ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist. TL : fahrt ihr runter oder fahrt ihr auch über diese Rampe? UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe.,Einsatzleiter von UGV 1 kommen,4
91,TL,UGV-1 : wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden. TL : fahrt ihr runter oder fahrt ihr auch über diese Rampe? UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe.,ich höre,5
92,UGV-1,TL : fahrt ihr runter oder fahrt ihr auch über diese Rampe? UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe.,habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse,2
93,UGV-1,TL : fahrt ihr runter oder fahrt ihr auch über diese Rampe? UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe. UGV-1 : habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse.,ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren,2
94,TL,TL : fahrt ihr runter oder fahrt ihr auch über diese Rampe? UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe. UGV-1 : ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren.,ja dann fahrt mal hoch und erkundet da weiter,7
95,UGV-1,TL : fahrt ihr runter oder fahrt ihr auch über diese Rampe? UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe. TL : ja dann fahrt mal hoch und erkundet da weiter.,ja ist verstanden,2
96,UAV,TL : fahrt ihr runter oder fahrt ihr auch über diese Rampe? UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe. TL : ja dann fahrt mal hoch und erkundet da weiter.,Einsatzleiter von UAV,4
97,UAV,UGV-2 : also aktuell stehe ich noch an dem flachen Bereich der Rampe. UGV-1 : habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse. TL : ja dann fahrt mal hoch und erkundet da weiter.,U- UAV,6
98,TL,UGV-1 : habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse. UGV-1 : ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren. TL : ja dann fahrt mal hoch und erkundet da weiter.,ich höre,5
99,UAV,UGV-1 : habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse. UGV-1 : ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren. TL : ja dann fahrt mal hoch und erkundet da weiter.,also ich kann auch hier keine Glutnester erkennen,2
100,TL,UGV-1 : habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse. UGV-1 : ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren. TL : ja dann fahrt mal hoch und erkundet da weiter.,ja verstanden,2
101,TL,UGV-1 : habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse. UGV-1 : ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren. TL : ja dann fahrt mal hoch und erkundet da weiter.,ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja?,3
102,UAV,UGV-1 : habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse. UGV-1 : ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren. TL : ja dann fahrt mal hoch und erkundet da weiter.,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,7
103,TL,UGV-1 : ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren. TL : ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja? UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja.,Rauchentwicklung ist von dort aus auch nicht zu sehen?,3
104,UAV,TL : ja dann fahrt mal hoch und erkundet da weiter. UAV : also ich kann auch hier keine Glutnester erkennen. UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja.,ja,7
105,UAV,UAV : also ich kann auch hier keine Glutnester erkennen. TL : ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja? UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja.,ich guck mal gleich wieder,2
106,UGV-2,UAV : also ich kann auch hier keine Glutnester erkennen. TL : ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja? UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja.,UGV 2 von Einsatzleiter,4
107,UGV-2,UAV : also ich kann auch hier keine Glutnester erkennen. TL : ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja? UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja.,UGV 2 hört,5
108,TL,UAV : also ich kann auch hier keine Glutnester erkennen. TL : ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja? UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja.,du hattest mir gerade das Bild geschickt ja?,3
109,UGV-2,UAV : also ich kann auch hier keine Glutnester erkennen. TL : ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja? TL : Rauchentwicklung ist von dort aus auch nicht zu sehen?,ja,7
110,UGV-2,TL : ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja? UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja. TL : Rauchentwicklung ist von dort aus auch nicht zu sehen?,ist schon etwas länger her,2
111,UGV-2,TL : ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja? UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja. TL : Rauchentwicklung ist von dort aus auch nicht zu sehen?,wir haben massive Probleme mit der Steuerung,2
112,UGV-2,UAV : ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja. TL : Rauchentwicklung ist von dort aus auch nicht zu sehen? TL : du hattest mir gerade das Bild geschickt ja?,ja da haben wir es gerade ein bisschen schwierig,2
113,UGV-2,TL : Rauchentwicklung ist von dort aus auch nicht zu sehen? TL : du hattest mir gerade das Bild geschickt ja? UGV-2 : ja da haben wir es gerade ein bisschen schwierig.,ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe,2
114,TL,TL : du hattest mir gerade das Bild geschickt ja? UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe.,ja verstanden,2
115,UGV-2,TL : du hattest mir gerade das Bild geschickt ja? UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe.,Einsatzleiter von UGV 2 kommen,4
116,TL,TL : du hattest mir gerade das Bild geschickt ja? UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe.,ich höre,5
117,UGV-2,TL : du hattest mir gerade das Bild geschickt ja? UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe.,das Bild ist geteilt,2
