id,speakers,tokens,tags
156,TL,ja mache ich,7
157,UGV-2,Einsatzleiter von UGV 2 kommen,4
158,TL,ich höre,5
159,UGV-2,ja ich habe nochmal ein Foto gezeigt,2
160,UGV-2,UGV 1 ist gerade an uns vorbei gefahren,2
161,UGV-2,sollen wir versuchen uns anzuschließen?,3
162,UGV-2,abz- anzuschließen,6
163,TL,ja macht ihr mal,7
164,UAV,Einsatzleiter von UAV,4
165,TL,höre,5
166,UAV,wir müssen gleich nochmal den Akku tauschen,2
167,UAV,hast du danach noch einen Auftrag für uns?,3
168,TL,ja landet erst mal ihr kriegt einen neuen Auftrag,7
169,UAV,ja ist verstanden,2
170,TL,UGV 2 von Einsatzleiter,4
171,UGV-2,UGV 2 hört,5
172,TL,du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,3
173,UGV-2,wir haben aktuell immer noch Probleme mit der Steuerung,0
174,UGV-1,UGV 1 erreicht gerade die erste Ebene,7
175,TL,das ist verstanden,2
176,TL,schickst du mir dann auch von da mal ein Foto?,1
177,UGV-1,ja das ist verstanden,7
178,UAV,Einsatzleiter von UAV,4
179,TL,ich höre,5
180,UAV,wir wären wieder startklar wenn du was neues für uns hast?,2
181,TL,ja ich melde mich gleich bei euch,2
182,UGV-1,Einsatzleiter von UGV 1,4
183,TL,ich höre,5
184,UGV-1,Foto ist erstellt und geteilt,2
185,UGV-1,man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost,2
186,TL,könnt ihr mir Näheres zu dem Behälter geben?,3
187,UGV-1,ich fahr mal näher ran und erkunde,2
188,TL,ja verstanden,2
189,TL,UGV 1 von Einsatzleiter,4
190,UGV-1,UGV 1 hört,5
191,TL,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,3
192,UGV-1,das ist korrekt,7
193,UGV-1,ich schicke dir auch gleich nochmal ein Bild mit der Thermal-Kamera,2
194,TL,ja verstanden,7
195,UAV,Einsatzleiter von UAV,4
196,TL,ich höre,5
197,UAV,ja wir haben uns gerade die Bilder noch einmal angeguckt,2
198,UAV,da könnte nochmal was sein,2
199,UAV,wir steigen nochmal auf und gucken uns das nochmal an,2
200,TL,ja insbesondere was die Wärmeentwicklung geht anbetrifft,1
201,TL,da konnte man nicht viel erkennen,2
202,UAV,ja ich versuch dir nochmal ein besseres Bild zu liefern,7
203,TL,ja verstanden,2
204,UGV-1,Einsatzleiter von UGV 1,4
205,TL,höre,5
206,UGV-1,schicke dir nochmal ein Bild,2
207,UGV-1,wir haben hier einen Gefahrenzettel auf dem Behälter,2
208,TL,ja verstanden,2
209,UGV-2,Einsatzleiter von UGV 2,4
210,TL,ich höre,5
211,UGV-2,ja wir haben mittlerweile die Kontrolle gewonnen und sind jetzt auch bei UGV 1,2
212,UGV-2,ich hab auch nochmal ein Bild geschickt,2
213,TL,UGV 1 von Einsatzleiter,4
214,TL,UGV 1 von Einsatzleiter,4
215,UGV-1,UGV 1 hört,5
216,TL,Frage: könnt ihr den Behälter mal von einer anderen Seite anfahren und erkunden ob er noch verschlossen ist oder ob da irgendwas austritt?,1
217,UGV-1,ja positiv wird gemacht,7
218,UAV,Einsatzleiter von UAV,4
219,TL,ich höre,5
220,UAV,wir haben auf der Rückseite - also aus nördlicher Sicht an der Rauchentwicklung ein Objekt festgestellt wir können keine Gefahrstoff-Kennzeichnung erkennen,2
221,UAV,ich hab dir jetzt zwei Bilder geschickt eine Detailaufnahme,2
222,TL,ja,2
223,TL,ich schau mal rein,2
224,UGV-1,Einsatzleiter von UGV 1,4
225,TL,ich höre,5
226,UGV-1,der Behälter scheint leer zu sein ich hab dir ein Bild geschickt,2
227,UAV,Einsatzleiter von UAV,4
228,TL,ja ich höre,5
229,UAV,ich hab dir - oder ich schick dir gleich nochmal ein Bild rüber du siehst auf der Rückseite definitiv zwei Orte wo sich noch Glutnester befinden,2
230,TL,ja verstanden,7
231,UAV,der eine Ort das sind zwei kleine Stellen das ist unter dem Fass was ich gerade schon mal geschickt habe und rechts davon siehst du auch da im Bild sehr deutlich 'ne Wärmesignatur die etwas größer ist,2
232,TL,ja verstanden,2
233,UGV-1,Einsatzleiter von UGV 1,4
234,TL,ich höre,5
235,UGV-1,reichen dir die Bilder?,3
236,UGV-1,dann würde ich die Erkundung auf dieser Ebene weiter fortsetzen,2
237,TL,ja reicht mir erst mal aus,7
238,TL,setz die Erkundung fort,7
239,UGV-2,Einsatzleiter von UGV 2 kommen,4
240,TL,ich höre,5
241,UGV-2,ja kriegen wir auch noch einen Auftrag?,3
242,TL,ja,7
243,TL,ich komme sofort wieder,6
244,TL,UGV 2 von Einsatzleiter,4
245,UGV-2,UGV 2 hört,5
246,TL,seht ihr die drei Hochbehälter?,3
247,UGV-2,negativ,0
248,UGV-2,aber ich sehe gerade Rauchentwicklung von hier aus,2
249,UGV-2,soll ich mal ein Foto machen?,2
250,UGV-1,Einsatzleiter von UGV 1,4
251,TL,ich höre,5
252,UGV-1,ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden,2
253,TL,ja schickst du mir nochmal ein Bild?,1
254,UGV-1,ja ist verstanden,7
255,UGV-1,wir haben auch jetzt hier erhöhte Rauchentwicklung,2
256,TL,ja verstanden,2
257,UAV,Einsatzleiter von UAV,4
258,TL,ich höre,5
259,UAV,ich hab dir doch noch ein Bild geschickt in Infrarot,2
260,UAV,und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes,2
261,UAV,- an der - an dem Tank,6
262,TL,ja verstanden,2
263,TL,UGV 2 von Einsatzleiter,4
264,UGV-2,UGV 2 hört,5
265,TL,Frage: wo ist jetzt euer Standort?,3
266,UGV-2,wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde,2
267,TL,dann bewegt ihr euch einmal in östlicher Richtung?,3
268,UGV-2,dafür müsstest du mal sagen wo wir ungefähr sind,3
269,UGV-2,weil das können wir selber klar nicht feststellen,2
270,UGV-1,Einsatzleiter von UGV 1,4
271,TL,ich höre,5
272,UGV-1,ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren,2
273,UGV-1,scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen,2
274,UGV-1,Si- andere Signaturen,6
275,TL,ja verstanden,2
276,TL,UGV 2 von Einsatzleiter,4
277,UGV-2,UGV 2 hört,5
278,TL,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,1
279,UGV-2,ja,7
280,UGV-2,Einsatzleiter von UGV 2,4
281,TL,ja,5
282,UGV-2,ja Foto ist geteilt,2
283,UGV-1,Einsatzleiter von UGV 1,4
284,TL,ja ich höre,5
285,UGV-1,ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt,2
286,UGV-1,scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich,2
287,UGV-1,ich bin drauf ich versuch das mal zu rollen,2
288,TL,ja verstanden,2
289,TL,UGV 2 von Einsatzleiter,4
290,UGV-2,UGV 2 hört,5
291,TL,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,3
292,UGV-2,ja das ist korrekt,7
293,TL,UGV 2 von Einsatzleiter,4
294,UGV-2,UGV 2 hört,5
295,TL,dann müsst ihr euch von da aus in östlicher Richtung bewegen,1
296,UGV-2,ja,7
297,UGV-2,wie ist da meine Blickrichtung auf dem Bild?,3
298,TL,schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken,2
299,UGV-2,ja verstanden,2
300,UAV,Einsatzführer von UAV,4
301,TL,ja ich höre,5
302,UAV,ich müsste erneut zurück wegen Akku Tausch,2
303,UAV,möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen,2
304,TL,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,1
305,UAV,so machen wir das,7
306,UGV-1,Einsatzleiter von UGV 1,4
307,TL,ich höre,5
308,UGV-1,ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel,2
309,UGV-1,schau dir das bitte mal an beide Bilder sind geteilt,2
310,TL,ja verstanden,7
311,UGV-1,ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen,2
312,TL,ja verstanden,7
313,TL,ihr setzt die Erkundung in östlicher Richtung weiter fort,7
314,TL,UGV 2 von Einsatzleiter,4
315,UGV-2,UGV 2 hört,5
316,TL,Frage: wo ist euer Standort inzwischen?,3
317,UGV-2,immer noch nicht klar,2
318,TL,UAV von Einsatzleiter,4
319,UAV,hier ist die UAV,5
320,TL,Frage: könnt ihr aus eurer Position den UGV 1 sehen?,3
321,UAV,wir sind unterwegs und melden uns gleich nochmal,6
322,TL,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war,1
323,UAV,ja ist verstanden,7
324,UGV-1,UAV von UGV 1 kommen,4
325,UAV,hier ist UAV,5
326,UGV-1,ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden,2
327,UAV,hast du eine Ebene? auf welcher Ebene?,3
328,UGV-1,ja auf der ersten Ebene zu den Rampen hin,2
329,UAV,ja ich sehe dich,2
330,UAV,Einsatzleiter von UAV,4
331,TL,ja ich höre,5
332,UAV,ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen?,3
333,TL,ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,3
334,UAV,ja ist negativ,0
335,UAV,das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug,2
336,UAV,das U- das erdgebundene,6
337,TL,ja das ist verstanden,2
338,TL,UGV 2 von Einsatzleiter,4
339,UGV-2,UGV 2 hört,5
340,TL,wie weit seid ihr?,3
341,UGV-2,ja ich bin jetzt wieder im Außenbereich,2
342,UGV-2,hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen,2
343,TL,ja schickst du mir mal ein Foto?,1
344,UGV-2,ja Foto kommt,7
345,TL,UGV 1 von Einsatzleiter,4
346,UGV-1,UGV 1 hört,5
347,TL,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,1
348,UGV-1,ja das kann ich machen,7
349,UGV-1,ich breche dann die Erkundung in östlicher Richtung ab,2
350,TL,ja verstanden,2
351,UAV,Einsatzleiter von UAV,4
352,TL,ich höre,5
353,UGV-1,nähere mich der Rauchquelle,2
354,UAV,ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken,2
355,TL,ja das ist verstanden,2
356,UAV,da bewegt sich das erdgebundene Fahrzeug gerade darauf zu,2
357,UGV-2,Einsatzleiter von UGV 2 kommen,4
358,TL,ich höre,5
359,UGV-2,ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt,2
360,TL,ja verstanden,2
361,UGV-2,und ich glaube da kommt UGV 1 auch wieder angerollt,2
362,UGV-1,ja das ist korrekt,2
363,UAV,UGV 1 von UAV 1,4
364,UGV-1,ich höre dich,5
365,UAV,ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter,2
366,UGV-1,ja ist verstanden,2
367,UAV,die Wärmesignaturen sind schwarze Punkte,2
368,UGV-1,Frage: ist das schon erfolgt?,3
369,UAV,Bild ist draußen ich hab's geteilt,7
370,UAV,kannst du die Bilder sehen? UGV?,3
371,UGV-1,nein negativ,0
372,TL,UAV von Einsatzleiter,4
373,UAV,hier ist die UAV,5
374,TL,konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,3
375,UAV,bisher ist das einzige,2
376,TL,ja verstanden,2
377,UAV,UGV 1 von UAV,4
378,UGV-1,ja,5
379,UGV-1,ich hab die brennenden Punkte gefunden,2
380,UAV,ja das ist schon mal gut ja,2
381,TL,UGV 1 von Einsatzleiter,4
382,UGV-1,ich höre dich,5
383,TL,ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich?,3
384,UGV-1,ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser,2
385,TL,ja das ist verstanden,2
386,TL,UAV von Einsatzleiter,4
387,UAV,hier ist die UAV,5
388,UAV,wir gehen runter zur Landung Akkutausch,2
389,TL,das ist verstanden,2
390,UGV-1,Einsatzleiter von UGV 1 kommen,4
391,TL,ich höre,5
392,UGV-1,ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt,2
393,TL,ist verstanden,2
394,TL,ich kann momentan aus technischen Gründen nur leider nichts sehen,2
395,UGV-1,ja ist verstanden,2
396,UAV,Einsatzleiter von UAV,4
397,TL,höre,5
398,UAV,ja wir brauchen noch einen Augenblick,2
399,UAV,tauschen eben die Kameras,2
400,UAV,dann sind wir wieder dabei und suchen dann nach weiteren Fässern,2
401,TL,ja verstanden,2
402,TL,in östlicher Richtung sollte das Gelände soweit abgesucht sein denke ich?,3
403,UAV,ja ist verstanden,2
404,UAV,wobei wir jetzt nur westlich gesucht haben von meinem Standpunkt aus,0
405,TL,okay,2
406,TL,an allen - an alle Einsatz- eingesetzten Kräfte UGV 1 UGV 2 und UAV,4
407,TL,Übungsende,2
408,UGV-1,UGV 1 verstanden,2
409,UGV-2,UGV 2 verstanden,2
410,UAV,UAV auch verstanden,2
411,WHS,Zugführer von WHS kommen,4
412,ZF,Gruppenführer von Zugführer kommen,4
413,GF,Gruppenführer hört,5
414,ZF,Frage Lautstärke Verständigung kommen,3
415,GF,Ja Lautstärke und Verständigung gut kommen,7
416,ZF,Ja das ist so verstanden ende,2
417,GF,Ja ende,2
418,ZF,Das WHS von Zugführer kommen,4
419,ZF,D2 von Zugführer kommen,4
420,D2,D2 hier kommen,5
421,ZF,Frage Lautstärke und Verständigung kommen,3
422,D2,Nochmal bitte kommen,1
423,ZF,Frage Lautstärke und Verständigung kommen,3
424,D2,Lautstärke und Verständigung sind super kommen,7
425,ZF,Das ist verstanden ende,2
426,ZF,WHS von Zugführer kommen,4
427,WHS,Ja ich höre kommen,5
428,ZF,Bei dir auch Frage Lautstärke und Verständigung kommen,3
429,WHS,Lautstärke und Verständigung ende,7
430,ZF,D1 von Zugführer kommen,4
431,ZF,D1 von Zugführer kommen,4
432,D1,D1 hier,5
433,ZF,Ja auch für euch Frage Lautstärke und Verständigung kommen,3
434,D1,Lautstärke OK,7
435,ZF,Das ist so verstanden,2
436,ZF,Frage seid ihr einsatzbereit kommen,3
437,D1,Sind einsatzbereit kommen,7
438,ZF,Ja das ist verstanden ende,2
439,ZF,Gruppenführer von Zugführer kommen,4
440,GF,Gruppenführer hört,5
441,ZF,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,1
442,GF,Einmal die Kommunikation der Robotertrupps checken und die Einsatzbereitschaft herstellen,7
443,ZF,Das ist so korrekt Ende,2
444,GF,Ja verstanden ende,2
445,ZF,D2 von Zugführer kommen,4
446,D2,D2 hier kommen,5
447,ZF,Frage seit ihr einsatzbereit kommen,3
448,D2,Wir haben gerade kein <unverständlich> und wir müssen noch ins Auto fahren.,0
449,D2,Also circa 5 Minuten kommen,2
450,ZF,Das ist soweit verstanden,2
451,ZF,dann bitte selbständig anfunken kommen,1
452,D2,Verstanden ende,7
453,ZF,WHS von Zugführer kommen,4
454,WHS,WHS hier kommen,5
455,ZF,Frage sind sie einsatzbereit kommen,3
456,WHS,Nur eine Sekunde ende,2
457,ZF,Gruppenführer von Zugführer kommen,4
458,GF,Gruppenführer hört,5
459,ZF,Ja für sie zur Information der D1 ist startklar der D2 brauch noch circa 5 Minuten bis zur Einsatzbereitschaft kommen,2
460,GF,Ja verstanden ende,2
461,WHS,Zugführer von WHS,4
462,ZF,Hier Zugführer kommen,5
463,WHS,Wir wären bereit ende,2
464,ZF,Das ist verstanden ende,2
465,GF,Zugführer von Gruppenführer kommen,4
466,ZF,Ja hier Zugführer kommen,5
467,GF,Der D3 und D5 einsatzbereit kommen,2
468,ZF,D3 und D5 ist einsatzbereit das ist verstanden,2
469,D2,Zugführer von D2 kommen,4
470,ZF,Ja hier Zugführer kommen,7
471,ZF,D2 von Zugführer kommen,4
472,D2,D2 hier kommen,5
473,ZF,Ja sie wollten etwas sagen kommen,3
474,D2,D2 ist einsatzbereit kommen,2
475,ZF,D2 ist einsatzbereit das ist verstanden,2
476,ZF,Bitte auf Übungsbeginn warten kommen,1
477,D2,Verstanden ende,7
478,ZF,An alle einsatzkräfte Übungsbeginn kommen,2
479,WHS,WHS hier verstanden,2
480,ZF,Gruppenführer von Zugführer kommen,4
481,GF,Gruppenführer hört,5
482,ZF,Einsatzszenario ist jetzt beginnend,2
483,GF,Einsatzszenario beginnt Verstanden,2
484,ZF,Verstanden ende,2
485,ZF,Gruppenführer von Zugführer kommen,4
486,GF,Gruppenführer hört,5
487,ZF,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,1
488,GF,Ja verstanden,7
489,ZF,D1 von Zugführer kommen,4
490,D1,D1 hört kommen,5
491,ZF,Die Einsatzstelle wurde begangen. Wir haben einen Gefahrstoffunfall in einem Lager.,2
492,ZF,Für sie Erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,1
493,ZF,Gruppenführer von Zugführer kommen,4
494,GF,Gruppenführer hört,5
495,ZF,der erste erkundungsflug ist jetzt mit der ersten Drohne gestartet worden kommen,2
496,GF,Ja erster erkundungsflug mit der Drohne gestartet verstanden kommen,2
497,ZF,WHS von Zugführer kommen,4
498,WHS,Hier WHS kommen,5
499,WHS,WHS hört kommen,5
500,ZF,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor,2
501,ZF,Für sie Auftrag Erkundung innen der Halle kommen,1
502,WHS,WHS hat verstanden kommen Erkundung innen verstanden <eh> kommen,7
503,ZF,Ja das ist verstanden ende,2
504,ZF,Gruppenführer von Zugführer kommen,4
505,GF,Gruppenführer hört,5
506,ZF,Für sie zur Information der D1 ist zur Erkundung des Außenbereiches vor die WHS Drohne ist zur Innenerkundung vor kommen,2
507,GF,Ja das ist verstanden ende,2
508,ZF,Für sie bitte die Inbetriebnahme der Roboter D3 und D5 kommen,1
509,GF,Inbetriebnahme D3 und D5 verstanden,7
510,ZF,Das ist so korrekt sie warten bitte noch auf weitere Einsatzbefehle kommen,1
511,GF,Wir warten in Bereitschaft verstanden,7
512,ZF,D1 von Zugführer kommen,4
513,D1,D1 hört,5
514,ZF,Frage hat der Erkundungsauftrag Lagerhalle außen schon Erkenntnisse hervorgebracht kommen,3
515,D1,Bisher nichts zu sehen,0
516,ZF,Von außen keine Erkenntnise ist das korrekt kommen,3
517,ZF,WHS von Zugführer kommen,4
518,WHS,WHS hört,5
519,ZF,Frage ich kann das bild ihrer Drohne auf dem Bildschirm sehen,2
520,ZF,können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,1
521,WHS,WHS hat verstanden kommen,7
522,ZF,WHS von Zugführer kommen,4
523,WHS,WHS hört,5
524,ZF,ein stückchen näher ran,1
525,WHS,Ja habe verstanden ende,7
526,ZF,Ja perfekt so ist es zu erkennen,2
527,ZF,die nummer wird jetzt in die Datenbank eingegeben,2
528,ZF,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,1
